State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Totals.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.12-17,Totals.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.12-17
Nebraska,2004,148189,210903,1077324,11,0.074737,28,621,0.18629,19,0.127461,2,0.016237,7,0.049989,9,0.058813,17,0.11568,23,0.156024
Nevada,2004,201110,239773,1493077,13,0.062274,33,761,0.165562,21,0.106378,3,0.016092,11,0.063256,14,0.069756,30,0.147089,26,0.128159
New Hampshire,2004,115243,136890,849273,7,0.060425,21,531,0.180916,13,0.110022,2,0.018494,6,0.059008,10,0.085894,17,0.145978,16,0.134542
New Jersey,2004,745809,832522,5605723,42,0.056837,140,3255,0.187698,84,0.111982,12,0.016351,35,0.052565,48,0.064651,94,0.125481,99,0.132972
New Mexico,2004,173285,224690,1167618,12,0.066533,31,595,0.180885,20,0.116991,4,0.021447,10,0.078306,16,0.091131,30,0.172106,26,0.151442
New York,2004,1584677,2050011,12371557,85,0.05377,297,7037,0.187494,170,0.107096,24,0.015406,79,0.057342,133,0.083994,232,0.146465,202,0.127407
North Carolina,2004,715542,897851,5379787,38,0.052926,107,2447,0.149213,99,0.138678,9,0.013053,33,0.053132,56,0.078243,96,0.134759,122,0.171073
North Dakota,2004,50426,82738,398634,4,0.082281,10,244,0.200367,7,0.13778,1,0.016961,3,0.053455,3,0.05815,6,0.123193,9,0.175654
Ohio,2004,980119,1257858,7263612,53,0.054052,160,3885,0.163662,126,0.128185,12,0.012325,49,0.056716,73,0.074304,135,0.137605,157,0.160062
Oklahoma,2004,292067,418925,2171414,18,0.06246,51,938,0.174139,43,0.148694,5,0.016702,15,0.057587,21,0.071047,43,0.146559,52,0.177214
Oregon,2004,297935,396541,2331124,19,0.063066,55,1404,0.183217,33,0.112171,5,0.016562,18,0.074217,28,0.093038,55,0.1847,43,0.144595
Pennsylvania,2004,1035623,1322980,8059411,58,0.056476,173,4477,0.16685,135,0.130823,16,0.015182,55,0.061002,71,0.068805,146,0.141056,160,0.154461
Rhode Island,2004,88122,125374,691117,5,0.058854,17,437,0.197872,11,0.120198,2,0.018496,5,0.076276,10,0.108239,17,0.195088,13,0.146075
South Carolina,2004,358954,464027,2642693,17,0.046099,49,1196,0.136722,43,0.11955,6,0.016216,19,0.060715,23,0.064288,47,0.131214,54,0.151295
South Dakota,2004,66529,94332,472172,5,0.081467,15,295,0.220283,10,0.155233,1,0.016232,4,0.058986,5,0.067938,9,0.134877,13,0.191031
Tennessee,2004,477163,642419,3799709,23,0.048131,68,1587,0.143426,64,0.133969,7,0.015138,25,0.060162,29,0.059808,65,0.135782,80,0.168068
Texas,2004,2052845,2628020,13267576,108,0.052479,347,6864,0.169129,203,0.098864,49,0.024081,88,0.049183,118,0.05764,250,0.121975,243,0.118151
Utah,2004,226903,358089,1304188,12,0.052263,27,415,0.120789,20,0.086791,4,0.018802,10,0.042905,13,0.056855,25,0.110602,24,0.103961
Vermont,2004,52660,70932,411991,3,0.06429,10,257,0.18631,7,0.137596,1,0.020145,3,0.073243,6,0.105406,9,0.172443,9,0.164353
Virginia,2004,622210,774068,4680347,31,0.050115,87,2531,0.139308,69,0.110791,9,0.013947,29,0.0509,33,0.053064,76,0.12208,81,0.130174
Washington,2004,527538,692546,3955836,30,0.057419,83,2403,0.15784,49,0.092024,8,0.01567,25,0.053018,36,0.068282,69,0.131582,61,0.11657
West Virginia,2004,136919,192780,1215454,9,0.064939,23,429,0.164745,22,0.160287,3,0.021568,6,0.054913,10,0.06997,19,0.136441,27,0.194868
Wisconsin,2004,472397,638835,3502106,38,0.080494,107,2420,0.225888,61,0.129454,9,0.019085,27,0.06799,38,0.081269,75,0.158504,78,0.164462
Wyoming,2004,42257,61866,321211,3,0.080965,8,176,0.191671,6,0.139762,1,0.018018,3,0.069326,3,0.068798,6,0.15035,7,0.175905
Alabama,2005,384026,504331,2899055,19,0.049386,61,1274,0.159487,45,0.117626,5,0.014212,17,0.048558,24,0.061922,42,0.110363,58,0.151477
Alaska,2005,66349,74227,382565,4,0.059613,10,221,0.148154,7,0.103553,1,0.01714,3,0.058982,5,0.081717,10,0.155946,10,0.149735
Arizona,2005,522702,660913,3704157,30,0.05686,90,2156,0.17242,58,0.110739,11,0.021541,27,0.065501,37,0.070266,74,0.14161,70,0.133603
Arkansas,2005,233328,306500,1755313,15,0.065796,41,774,0.176092,32,0.13779,4,0.016494,12,0.06336,18,0.076082,33,0.142412,38,0.163672
California,2005,3293484,4085207,22046720,182,0.055341,487,11972,0.147934,258,0.078326,55,0.016548,155,0.054006,217,0.065814,436,0.132474,313,0.094911
Colorado,2005,389561,513260,2938592,27,0.068639,71,1828,0.18184,42,0.108224,8,0.019414,22,0.069351,30,0.076013,62,0.159648,55,0.142275
Connecticut,2005,299315,349035,2272942,18,0.060452,60,1467,0.201099,31,0.10277,6,0.019706,17,0.06815,25,0.083256,49,0.164326,37,0.124627
